网站链接,文章标题,文章摘要
https://ieeexplore.ieee.org/document/10525502/,Influence of Battery Technologies on UAVs Characteristics,"The study deals with the impact of battery technologies on the characteristics of battery-powered Unmanned Aerial Vehicles (UAVs), with the aim of reducing battery weight and improving power system efficiency. In this context, a hexacopter powered by a lithium polymer battery is used as an example in the study. The load profile is repeated multiple times, specifically during the hovering phase, to extend the mission duration. This research has demonstrated that reducing battery weight has a positive effect on the overall weight of the UAV, enhancing its agility and reducing power requirements for flight.Furthermore, in order to improve UAV characteristics, three different types of batteries are tested and evaluated to determine the optimal choice for the drone’s mission. The simulation results provide insights into the best battery type for the mission. Overall, advancements in battery technology have a significant impact on the capabilities and performance of UAVs. This area is a key focus of research and development in the field."
https://ieeexplore.ieee.org/document/10898930/,Early Detection of Battery Depletion Attack in 5G-based UAV Networks,"5G introduces various innovations and opportunities across network infrastructures. In 5G, Unmanned Aerial Vehicles (UAVs) can function as relays, and flying base stations to enhance communication availability and meet user demands across a wide range of applications. However, these advancements also bring security threats and malicious activities aimed at disrupting the communication system. One such threat is the Depletion of Battery (DoB) attack. Battery life is a critical component for UAVs, and attackers may attempt to deplete it in various ways, either through physical contact or remotely. Remote attacks can occur via GPS data channels or control channels, with the latter being particularly dangerous. In this work, we focus on an attack using Packet Forwarding Control Protocol (PFCP) messages. These messages are of high priority, requiring immediate attention from the UAV, which attackers exploit to drain the battery by sending numerous unauthorized PFCP messages. To address this attack, we have implemented the CUMSUM method for detection, taking into account the attack vector as a combination of energy consumption, battery depletion, and time. To further enhance our detection approach, we have developed a dynamic threshold strategy to minimize the false positive rate, making our solution more robust and reliable."
https://ieeexplore.ieee.org/document/8515800/,Design of Battery Monitor and Protection Subsystem of Power System in MAYAD01 UAV Project,"Nowadays Unmanned Aerial Vehicles (UAV) play a curial role in many fields. It has been used to do urban civil missions such as search and rescue, wildlife, agriculture surveys and weather monitoring as well as military missions such as border surveillance, military training and many other missions. The Institute of Space Research and Aerospace (ISRA), Sudan has established a UAV research project named mayada01.The main task of mayada01 is monitoring wide space agriculture areas via high-resolution cameras capturing visible and infrared images. Mayada01 composes of six systems. The power system is one of them, and it is responsible for providing and managing the distribution of electrical power to other systems besides monitoring the battery level and protecting the other systems from over current. This paper presents the hardware and software design of battery monitor and protection subsystem of power system in mayada01."
https://ieeexplore.ieee.org/document/7991424/,Multi-UAV control testbed for persistent UAV presence: ROS GPS waypoint tracking package and centralized task allocation capability,"A system of unmanned aerial vehicles (UAVs) can be used to provide uninterrupted service to customers by handing the mission from a weary UAV to a fresh one in an automated manner. Toward such a system, we discuss the development of two components: ROS GPS waypoint tracking package and centralized task allocation network system (CTANS). The ROS GPS waypoint tracking package is the first open source software developed for the AR Drone 2.0 UAV that enables integration with a larger system. CTANS connects the UAV host computers to a central computer, receives the UAV status information and distributes GPS flight directives. CTANS is responsible for distributing the commands to the UAVs to ensure mission handoffs are conducted as required. This multi-UAV control software testbed was used to implement a small scale, outdoor, persistent, GPS based patrol mission with two UAVs."
https://ieeexplore.ieee.org/document/10476110/,SigFeaDet: Signal Features-based UAV GPS Spoofing Detection using Machine Learning,"The GPS is the most common used satellite-based navigation and positioning system. It is an indispensable component for a UAV as it provides accurate location data that is critical for navigation and mission success. However, GPS spoofing attacks are becoming a growing threat to GPS-dependent systems. Most existing GPS spoofing detection methods for UAVs are proposed based on simulation data or depend on multiple UAVs. In this paper, we propose a signal feature-based GPS spoofing detection approach, SigFeaDet, for a UAV using machine learning techniques. Our basic idea is to use the anomalies of GPS signal features due to the discrepancy between normal and spoofing signals. The Carrier-to-Noise Density Ratio (CN0) and Doppler frequency are significant signal features for GPS satellite positioning, which can be applied to identify spoofing signals. Various machine learning algorithms are applied to train with normal and spoofing data to choose the best classifier. The open GPS dataset TEXBAT is processed to obtain signal data and we also perform flight experiments to collect GPS data to augment normal GPS signal dataset. The detection rate is more than 94.8% and the equal error rate (EER) is about 5%, and the detection period is only 0.4 second."
https://ieeexplore.ieee.org/document/10731827/,Isolation Forest Algorithm Against UAV’s GPS Spoofing Attack,"Nowadays, Unmanned Aerial Vehicle (UAV) platforms are a valuable source of data for inspection, surveillance, mapping, and 3D modeling issues. Embedded electronic and communication systems within UAVs are based on the integration of the Internet of Things (IoT) into UAV systems (commonly called the Internet of Drone Things (IoDT)). Nevertheless, the vulnerability of this interconnected environment to malicious activities, such as GPS spoofing, threatens the dependability and security of UAV operations. To countermeasure this challenging issue, this article uses an effective anomaly detection method, the Isolation Forest algorithm, for mitigating GPS spoofing threats. A well-curated dataset specifically targeting the detection of GPS deception in UAVs has been utilized. Extensive experiments were conducted to compare our proposal with its counterparts (Random Forest and Naive Bayes). The experimental outcomes demonstrate the Isolation Forest algorithm’s efficiency in anomaly detection, attaining a noteworthy accuracy rate of (95.85%). However, Random Forest and Naive Bayes achieved (93.63%) and (92.38%), respectively. Other performance evaluation metrics show that the Isolation Forest works better than others, which supports its potential as a reliable way for anomaly detection when GPS spoofing happens in UAVs. The insight obtained from this research can provide valuable input for creating proactive security protocols to guarantee the secure implementation and functioning of UAVs."
https://ieeexplore.ieee.org/document/9845547/,UAV-based Travel Assistive Technology for Smart Transportation,"We demonstrate state-of-the-art DJI drone emergency response to investigate the efficiency of using UAVs for smart transportation systems. Response time, flight time, battery usage, environmental conditions, and video are recorded in a real-world response experiment to understand further the practical capabilities of the DJI Mavic 2 Pro and DJI Phantom 4 drones. GPS coordinates are sent from the emergency location to the drone operator for dispatch of the drones. The battery usage of each of the experiment phases is recorded, resulting in an estimated flight time of 33.67 flight minutes and 35.4 flight minutes for the DJI Mavic 2 Pro and DJI Phantom 4 drones, respectively. The observation is made that automatic flight modes consume more energy and thus lower the potential flight time of the drones."
https://ieeexplore.ieee.org/document/10049031/,UAVs Reformation Approach Based on Packet Loss in GPS-Denied Environments,"Drone technology, which is employed by a large number of industries and institutions, including the military and commercial, makes use of the Global Positioning System (GPS) to precisely pinpoint locations and has given a huge rise in aerial surveillance applications. Though drones without GPS can still be operated, there is no certainty that the locations are precise due to a lack of real-time position information and existing environmental influences. In this paper, we perform network packet transmission over a drone swarm to relocate imprecise positions of formation when GPS is unavailable. We introduce a reformation approach based on packet loss, which relocates the drone swarm’s formation into the initially intended one to preserve the original coverage area as much as possible. Through simulations, we show that our proposed approach guarantees to acquire the lost coverage area by improving inaccurate formation within a reasonable period of time. Although the adjusted formation is not exactly as originally desired in some cases, the coverage area is still higher obtained than the imprecise one."
https://ieeexplore.ieee.org/document/10166080/,Autonomous Patrol Technology and System on Leapfrog-Type Charging UAV-Automatic Positioning of UAV Based on GPS/RTK,"In order to solve the problem of endurance in the process of unmanned aerial vehicle (UAV) line patrol, an autonomous UAV line patrol system based on leapfrog charging is designed and implemented. The key to achieving the goal of autonomous line patrol for UAVs is autonomous positioning technology and automatic charging control technology. This paper focuses on the research of autonomous positioning technology for UAVs based on GPS/RTK. First of all, the system structure and operating principle of leapfrog-type charging UAV is proposed, and the combined GPS/RTK navigation control module and automatic identification module are developed. Then, in order to ensure that the UAVs can precise positioning, accurate calibration of cameras and targets are studied. Finally, this paper conducts experimental simulations in the three main links of attitude solving, acceleration compensation and delay compensation in line patrol technology. The experimental results show that the attitude solving algorithm can accurately estimate the flight attitude of the UAVs in flight, and can compensate for the motion acceleration in a timely and fast manner. The delay compensation algorithm can effectively solve the problem of positioning sensor delay. When the barometer output altitude data is unhealthy, the system can identify the health of the data and automatically fuse the altitude data output by GPS. Therefore, the methods and research conclusions proposed in this paper have important engineering guiding significance for the autonomous line patrol of UAVs."
https://ieeexplore.ieee.org/document/5747587/,Battery health management system for electric UAVs,"This paper presents a novel battery health management system for electric UAVs (unmanned aerial vehicles) based on a Bayesian inference driven prognostic framework. The aim is to be able to predict the end-of-discharge (EOD) event that indicates that the battery pack has run out of charge for any given flight of an electric UAV platform. The amount of usable charge of a battery for a given discharge profile is not only dependent on the starting state-of-charge (SOC), but also other factors like battery health and the discharge or load profile imposed. This problem is more pronounced in battery powered electric UAVs since different flight regimes like takeoff/landing and cruise have different power requirements and a dead stick condition (battery shut off in flight) can have catastrophic consequences. Since UAVs deployments are relatively new, there is a lack of statistically significant flight data to motivate data-driven approaches. Consequently, we have developed a detailed discharge model for the batteries used and used it in a Bayesian inference based filtering (Particle Filtering) technique to generate remaining useful life (RUL) distributions for a given discharge. The results section presents the validation of this approach in hardware-in-the-loop tests."
