title,url,contentText
精准抓取、像人手一样有“触觉” 我国机器人仿生手研究获新突破,https://finance.sina.com.cn/jjxw/2025-06-22/doc-infaxxhi0473188.shtml,　　人民财讯6月22日电，近日，由北京通用人工智能研究院、北京大学等单位组成的联合科研团队，研发出全球首个兼具全手高分辨率触觉感知和完整运动能力的机器人仿生灵巧手。有了它，机器人不仅能精准抓取物品，还能像人手一样“感受”力度和位置。在研发过程中，科研人员发现，现有的触觉传感技术在覆盖率、分辨率和耐久性方面均存在短板，很难让仿生灵巧手在生活中派上用场。为了攻克这一难题，科研团队另辟蹊径，研发了一套全新的触觉感知方案。全新的触觉感知方案，让仿生灵巧手拥有了更高的触觉灵敏度，为后续研发奠定了基础。随后，科研团队又模仿人类手部结构，巧妙地将17个高分辨率触觉传感器，以6种不同方式组合在一起。这样，仿生灵巧手既能精准感知又能灵巧活动。实验结果表明，相比普通没有触觉反馈的机器人灵巧手，仿生灵巧手在面临执行误差和物体碰撞风险时，表现出显著的适应性优势，适用场景也会更多。责任编辑：王其霖 
北京星空院轨道辰光宣布完成首轮融资 建设太空算力基础设施,https://finance.sina.com.cn/tech/shenji/2025-06-22/doc-infaxsyi8486012.shtml,　　新浪科技讯 6月22日下午消息，近日，晨昏轨道巨型算力卫星星座项目承建单位北京轨道辰光科技有限公司（以下简称“轨道辰光”）宣布完成了首轮及加轮总计1.4亿元人民币的融资，投资方包括上市公司顺灏股份及联想创投。资金将用于晨昏轨道巨型算力星座的关键技术研发、试验星发射及组网运行等。　　轨道辰光作为北京星辰未来空间技术研究院（以下简称“北京星空院”）首个孵化落地的产业项目，核心任务是在地球晨昏轨道发射部署算力卫星，组成太空数据中心，利用7*24小时不间断和无大气遮挡的空间太阳能和宇宙极寒背景辐射的散热条件发展空间智能，致力于为全球用户提供天基算力服务，实现“天数天算”和“地数天算”。北京星空院及轨道辰光公司通过市场化的融资手段，建设重大空间基础设施，助力商业航天和人工智能发展。　　近年来，随着商业航天和人工智能的快速发展，商业航天对太空算力提出了越来越大且迫切的需求，各国纷纷开始考虑将计算中心搬到太空。轨道辰光公司及其依托单位北京星空院在北京市科委、中关村管委会的支持下，已布局开展了大量关键技术研发，如通过新型砷化镓太阳能电池等产品的研发，可将整星功率密度相较传统卫星显著提高；在散热方面，团队通过新型辐冷板的设计与双相流体回路，确保算力卫星在用电功率大、热流密度高，且卫星无大气对流条件等情况下，将产生的热量及时辐射到空间环境中。此外，团队还在天地海量数据（维权）传输技术、高比冲推进技术、空间环境防护技术、空间大尺度平板展开技术等方面开展了大量技术攻关并取得阶段性成果。　　据悉，轨道辰光首颗算力试验星已经投产，并预计将于今年年底左右发射入轨，通过在晨昏轨道建设算力星座，将有效解决地面算力中心建设制约问题，构筑兼具性能、环保以及成本优势的算力基础设施，为我国乃至全球用户提供算力支持，并为我国实现航天强国的目标做出贡献。责任编辑：王其霖 
唯品会副总裁冯佳路涉嫌贪腐被抓，官方回应：对贪腐行为零容忍，公司业务运营一切正常,https://finance.sina.com.cn/tech/2025-06-22/doc-infaxhkn1919876.shtml,　　新浪科技讯 6月22日上午消息，有媒体报道称，唯品会营销副总裁冯佳路因内部反腐被抓，涉及金额巨大。　　针对此事，唯品会向新浪科技回应称，唯品会对贪腐行为零容忍。副总裁Tony（冯佳路）因涉嫌个人经济问题正在配合公安机关调查，公司业务运营一切正常。　　资料显示，冯佳路曾任职于宝洁旗下玉兰油大中华区品牌总监及国际公关公司万博宣伟顾问。后担任唯品会副总裁。责任编辑：杨赐 
罗永浩回忆与DeepSeek梁文峰见面：他穿得特别朴素，不像商人或大佬反而更像个学生,https://finance.sina.com.cn/tech/2025-06-22/doc-infaxhkp8691639.shtml,　　新浪科技讯 6月22日上午消息，在AGI Playground 2025上，罗永浩以科技创业者身份亮相并透露称，自己曾在今年春节 DeepSeek爆火之前与梁文峰见面，当时自己公司内部调试AI的团队在使用他们的模型 DeepSeek-V3时遇到了一些问题。　　“这次见面给我留下的印象非常深刻，他和我见过的许多新一代科技公司创始人非常相似，比如王兴、张一鸣。这些人都有一个共同的特征：当你与他们面对面交流时，你不会觉得他像商人或大佬，反而更像个学生。虽然他们现在已经非常有成就了，但无论是穿衣打扮还是言谈举止，都非常朴素。”　　罗永浩还表示，梁文峰向他提了一个有点奇怪的问题：“你为什么非要做科技呢？”　　罗永浩听完有点沮丧，心想他为什么会问这样的问题？梁文峰则说：“我没有别的意思，我只是觉得，一个人如果在任何一个领域能做到全国顶尖的水平，就不应该辜负这份天分。”他还评价罗永浩称：“我认为你‘靠嘴吃饭’的能力，绝对是全国顶尖的。”　　“他很真诚地问我为什么不发挥自己的长处。我回来后认真想了想，我也不排除会去做靠嘴吃饭这件事。”罗永浩说。责任编辑：杨赐 
罗永浩：花一年做AI 软硬件结合方案，软件出了工程灾难,https://finance.sina.com.cn/tech/2025-06-22/doc-infaxaaq2039028.shtml,　　新浪科技讯 6月22日上午消息，在 AGI Playground 2025 上，罗永浩以科技创业者身份亮相并透露称，自己的新公司——Thin Red Line用了一年多的时间，烧了很多钱，证实十年内 AR 眼镜都不太可能商业化，代价非常昂贵。　　罗永浩进一步透露称，Thin Red Line又花了一年多的时间做 AI 的软硬件结合方案，但是硬件没出问题，上个时代软件从来不出问题，永远都是硬件出问题，然后这次是硬件没出问题，软件出了工程灾难。　　“我们原来计划软硬件结合的方案是去年年底、今年年初发的，但是因为软件出了一个整体的工程灾难，所以就没发出来。”罗永浩表示，新公司纯软件的（方案）可能两三个月内就要上了，所以自己又出来得瑟一下，就是为了给推出做准备。”责任编辑：杨赐 
罗永浩：烧了很多钱，证实十年内AR眼镜都不太可能商业化，代价非常昂贵,https://finance.sina.com.cn/tech/2025-06-22/doc-infaxaat0890158.shtml,　　新浪科技讯 6月22日上午消息，在 AGI Playground 2025 上，罗永浩以科技创业者身份亮相，谈及最近几年鲜有在科技圈发声的原因及细红线最新的动态。　　罗永浩表示，其实自己没有离开科技界，就是 20 - 21 两年去卖货了，因为跟电商公司有合约，所以现在每周末也在卖货。22 年 5 月开始，自己成立了一个新公司（细红线），做软件和硬件结合的智能设备公司。这两年多、将近三年没有动静，不是离开了科技界，是因为我们在埋头搞研发，没做出来东西之前就没有什么好出来得瑟的。所以其实没有离开，一直都在。　　罗永浩透露，自己的新公司用了一年多的时间，烧了很多钱，证实十年内 AR 眼镜都不太可能商业化，但是这个代价是非常昂贵的。然后又花了一年多的时间做 AI 的软硬件结合方案，但是硬件没出问题，上个时代软件从来不出问题，永远都是硬件出问题，然后这次是硬件没出问题，软件出了工程灾难。　　“我们原来计划软硬件结合的方案是去年年底、今年年初发的，但是因为软件出了一个整体的工程灾难，所以就没发出来。”罗永浩表示，新公司纯软件的（方案）可能两三个月内就要上了，所以自己又出来得瑟一下，就是为了给推出做准备。”责任编辑：杨赐 
车主称理想MEGA“自燃”，最新回应！,https://finance.sina.com.cn/china/2025-06-21/doc-infavpzi9614280.shtml,　　新浪科技讯 6月21日下午消息，近日，有理想车主于社交平台发文控诉其MEGA于地库内发生车内起火事件。据涉事车主透露，火源位于主驾右侧，扶手箱及冰箱处电线有灼烧痕迹，事故发生后调查人员在车内发现打火机残骸，但“无法确定是线路问题还是打火机先引发火情”。　　据该车主进一步解释称，“事情发生第一天好几方工作人员车上车下看了好多遍，没有人发现火机。第二天理想带了自己的火调人员勘查现场，发现了火机。”该车主称，“自己并不抽烟，不知道火机的存在。”　　对此，新浪科技向理想汽车方面求证，理想汽车相关人士回应称，“在主驾座椅滑轨上方发现一个打火机烧焦残骸和一个完整打火机。起火点附近的中控台线束完整，且无异常变色。此外，经与用户和相关部门核查后台座椅位置调节数据，发现起火前主驾座椅存在调节记录。”（文猛）责任编辑：张恒星 
宣布捐400亿元办“大学”后，钟睒睒与杭州政府签署办学协议,https://finance.sina.com.cn/china/2025-06-21/doc-infavitp1800740.shtml,　　6月21日，据媒体报道，杭州市政府与杭州市钱塘教育基金会签署合作办学框架协议。杭州市市长姚高员与钱塘教育基金会发起人钟睒睒代表双方签署协议书。　　据悉，杭州市钱塘教育基金会由农夫山泉创始人钟睒睒创办，2021年经杭州市民政局批准成立，为非公募基金会。基金会以资助高水平民办大学建设发展，引进顶尖学者和杰出人才，培养前沿科学研究和高技术领域的拔尖创新人才为宗旨，业务范围包括举办大学，筹集大学建设及运行资金，资助引进拔尖人才、培养优秀人才以及教育科研活动。　　今年1月，钟睒睒就曾在公司年会上宣布，计划在未来十年捐赠400亿元用于筹办杭州的“钱塘大学”。钟睒睒强调，这所大学将致力于贡献知识、拓宽人类知识边界，并注重科学与技术的双重发展，实现从0到1的科研创新以及技术的转化应用。责任编辑：张恒星 
泡泡玛特创始人讲话曝光：目标不是让Labubu成为一时爆红的流行符号,https://finance.sina.com.cn/tech/2025-06-21/doc-infavitk2963210.shtml,　　6月21日，据媒体报道，近期泡泡玛特创始人、CEO王宁在公司内部针对Labubu的火爆现象进行了一次分享。王宁指出，从产品层面看，泡泡玛特的目标不是让Labubu成为一时爆红的流行符号，而是打造一个具备长期生命力的IP。　　“近期，我们被推到了一个备受关注的位置，但热度越高意味着外界期待越高，风险也随之上升。”据悉，王宁要求公司内部保持克制。在他看来，当前泡泡玛特更大的挑战不在于增长速度，而在于如何持续把事情做好。　　“在持续关注下，我们必须确保消费者体验的稳定与品牌信任的延续。不是一味扩张、追求曝光，而是保持节制，守住企业的健康与韧性。健康优先于增长，长期胜于短期。我们不能被眼前的风光所迷惑，而应以清醒和克制，为可能到来的风浪做好准备。”王宁表示。　　据悉，在这次分享后不久，泡泡玛特调整了Labubu的供给策略和预售策略。6月18日，近几个月在全球范围出圈的泡泡玛特旗下IP Labubu的第三代搪胶毛绒产品“前方高能”，首次开启了全球线上预售。　　对于上述消息，新浪科技向泡泡玛特方面求证，截至发稿公司暂无回应。责任编辑：石秀珍 SF183
《F1：狂飙飞车》：苹果深度参与的围场极速纪实,https://finance.sina.com.cn/tech/mobile/n/n/2025-06-21/doc-infavcmr1886628.shtml,　　银石赛道的沥青路面在烈日下蒸腾，一辆黑金涂装的赛车以322公里时速呼啸而过。驾驶舱内，布拉德·皮特紧握方向盘，承受着4倍G力的压迫——这不是特效替身，而是《F1：狂飙飞车》摄制组的日常。　　当赛车冲过终点线，维修墙上爆发出真实车队和观众的欢呼。这支苹果原创影片，与奥斯卡影帝，加上好莱坞制作团队，甚至还有F1的真实赛手维斯塔潘，汉密尔顿组成的比赛，让布拉德-皮特和他的“极速巅峰”车队，俨然成了成为F1围场里的真实队伍。　　1）真实至上的拍摄哲学　　“他们（观众）都在抱怨，赛车电影里的车看起来不够快，因为通常来说，当摄制团队打造这些车的时候，他们制造的是拍电影用的车”——在对导演约瑟夫·科辛斯基的采访中，他道出行业痛点。　　传统赛车电影依赖道具车与绿幕特效，而《狂飙飞车》选择颠覆性方案：将剧组深度嵌入真实F1赛事体系。在2023至2024赛季中，摄制组如同真正车队般征战全球——从英国银石到阿布扎比亚斯码头赛道，14场大奖赛的赛道旁，黑金涂装的真实赛车与红牛、梅赛德斯并肩疾驰。　　当布拉德·皮特的赛车在暖胎圈尾随真实F1车阵驶过发车线，电影与赛事融合，在2023年银石赛道英国大奖赛的拍摄中得到了最佳体现。当时两辆极速巅峰车队赛车在暖胎圈时，跟随20辆正式F1赛车一起列队发车。　　“我想这原本是大多数人认为不可能实现的事情，”班普顿回忆道。“但经过细致的规划、多次彩排演练，以及与FIA的充分沟通，所有人都确信这既不会影响赛事观赏性，也不会损害比赛竞争的公正性。”就这样，两辆黑金涂装的极速巅峰赛车出现在了银石赛道发车区的末端——而电视观众没有察觉异常。　　2）演员变车手的挑战　　布拉德-皮特与搭档达姆森·伊德瑞斯经历严苛训练：先在模拟器掌握基础操作，再驾驶F3赛车适应开放式座舱，最终升级至F2赛车。训练包含VO2最大摄氧量测试、BATAC神经反应训练等F1车手同款科目，强化颈部肌肉以承受持续高G值过弯。主教练卢西亚诺·巴切塔（前F2冠军）则通过头盔通讯实时指导他们的入弯速率和刹车点。　　当伊德瑞斯在匈牙利亨格罗宁赛道以200公里时速过弯时，他同时完成三件事：精准控制方向盘、通过无线电念台词、展现角色的驾驶状态。而特技车手则驾驶摄影车平行跟随，在偏离赛车线的危险位置捕捉演员面部特写。最终成片里的赛车碰撞镜头，几乎均由演员亲自驾驶完成。　　3）新技术重塑赛道美学　　为捕捉真实驾驶体验，摄影指导克劳迪奥·米兰达与索尼联合，共同研发了一款名为“卡门”的新型摄影机。　　这台被戏称为“棍子上的传感器”的设备，它被安装在赛车防滚架上，首次实现行驶中的动态运镜，让观众能看到的驾驶舱的细节，仿佛亲历每一个弯道。　　另外，在与国际汽车联合会（FIA）、导演及摄影师的合作下，苹果公司的工程师开发出了一种定制摄像系统，以此替换标准转播模组，在保证能承受 F1 赛事级极端环境的同时，控制体积与重量，从而满足空间限制。　　在技术方案细节，外媒提到这套系统采用iPhone同款CMOS传感器（具体型号未公开，Wired 推测为 iPhone 15 Pro 同款 4800 万像素传感器），以及iPhone同款A系列芯片（具体型号未确认），集成iPhone电池、镜头中性密度滤镜，甚至运行定制化iOS固件，支持ProRes Log。　　此外，由于F1赛车内部不允许使用无线电设备，所以摄制组无法通过常规无线技术控制摄像机。苹果公司又开发了一款定制的iPad应用，通过USB-C接口连接到设备。如此一来，电影制作人就可以通过iPad控制快门角度、ISO、白平衡、帧率等参数。　　这些成果达成了汉密尔顿提出的挑战，为观众提供了完全不同于电视转播的视角与体验。汉密尔顿对此表示认同——“导演通过这些革命性摄像设备和杰出的团队，真实还原了赛车运动的速度本质，这种临场感令人振奋——这正是他的天才之处。”　　另外在声音部分，导演也强调速度感的塑造奥秘。混音师加雷斯·约翰（《沙丘2》奥斯卡得主）带队在赛道布置140个特种麦克风。这些设备耐受120℃高温，贴近排气管收录千匹马力的声音——“我们在真实赛车上安装了麦克风，捕捉上千匹马力的声音和感觉。由于红牛车队的赛车声音与法拉利不同，而法拉利又与梅赛德斯有别，我们花了很多功夫来采集赛道上多辆赛车的声音。”　　从梅赛德斯工厂的精密机床，到汉斯·季默录音棚里的电子振荡器；从索尼实验室的纳米传感器，到苹果工程师的影像芯片——这场由苹果，好莱坞影视工业，与F1赛场共同缔造的速度盛宴，重新定义了赛车电影的呈现方式。　　这一切努力将在6月27日，通过一场电影呈现在观众眼前，当黑金涂装的极速巅峰赛车在斯帕赛道“红河弯”划出完美弧线，让皮特笑得像个少年。这一刻，电影与赛事的边界彻底溶解。苹果制造产品和科技创新的能力，也跨越了品类，通过另一种方式，在银幕前让用户真实感受。
