id,股票名称,股票代码,年份,数量
485568977,深振业A,6,2024,168
485568977,深振业A,6,2023,189
25955398,深圳能源,27,2025,1617
25955398,深圳能源,27,2024,159
28269196,深圳机场,89,2024,175
28269196,深圳机场,89,2023,146
28269196,深圳机场,89,2020,110
311225958,美的集团,333,2024,153
10614474,云南白药,538,2024,214
10614474,云南白药,538,2023,182
10614474,云南白药,538,2022,191
189667023,佛山照明,541,2024,132
356162423,贵州轮胎,589,2024,112
2349392014,太阳能,591,2023,111
24259442,长安汽车,625,2025,121
24259442,长安汽车,625,2024,254
24259442,长安汽车,625,2023,208
24259442,长安汽车,625,2022,236
24259442,长安汽车,625,2021,204
24259442,长安汽车,625,2020,198
24259442,长安汽车,625,2019,128
184358746,铜陵有色,630,2025,138
184358746,铜陵有色,630,2024,265
33822284,格力电器,651,2025,144
438314622,沈阳化工,698,2025,171
79532869,中南股份,717,2023,102
189767497,新华制药,756,2022,101
2076223,中色股份,758,2023,140
2076223,中色股份,758,2022,106
219677676,本钢板材,761,2024,185
18189119,新兴铸管,778,2025,115
18189119,新兴铸管,778,2024,208
18189119,新兴铸管,778,2023,159
6575374,北新建材,786,2023,102
6575374,北新建材,786,2022,137
207215680,万年青,789,2022,135
35075639,太钢不锈,825,2025,145
35075639,太钢不锈,825,2022,101
35075639,太钢不锈,825,2021,166
27468309,五粮液,858,2024,106
27468309,五粮液,858,2022,183
270022070,国风新材,859,2025,126
270022070,国风新材,859,2024,129
270022070,国风新材,859,2021,122
25943516,吉电股份,875,2025,818
25943516,吉电股份,875,2024,747
25943516,吉电股份,875,2023,373
25943516,吉电股份,875,2022,386
27061777,鞍钢股份,898,2025,198
27061777,鞍钢股份,898,2024,157
307051450,赣能股份,899,2023,129
307051450,赣能股份,899,2022,124
307051450,赣能股份,899,2021,143
3369604739,中粮科技,930,2025,380
3369604739,中粮科技,930,2024,311
3369604739,中粮科技,930,2023,194
3369604739,中粮科技,930,2022,258
3369604739,中粮科技,930,2021,152
3369604739,中粮科技,930,2019,164
3369604739,中粮科技,930,2017,154
6944248,冀中能源,937,2025,173
6944248,冀中能源,937,2024,624
6944248,冀中能源,937,2023,396
6944248,冀中能源,937,2022,370
6944248,冀中能源,937,2021,165
25949237,长源电力,966,2023,279
25949237,长源电力,966,2022,318
25949237,长源电力,966,2021,221
3049285251,蓝焰控股,968,2025,150
3049285251,蓝焰控股,968,2024,167
3049285251,蓝焰控股,968,2022,127
116873940,东华科技,2140,2025,422
17346184,龙源电力,1289,2023,122
24740702,国货航,1391,2024,110
24740702,国货航,1391,2023,114
210294949,广东建工,2060,2022,104
116873940,东华科技,2140,2025,422
116873940,东华科技,2140,2024,908
116873940,东华科技,2140,2023,925
116873940,东华科技,2140,2022,643
116873940,东华科技,2140,2021,319
78916640,宁波银行,2142,2025,101
78916640,宁波银行,2142,2024,101
891421431,中航光电,2179,2024,120
25962131,大连重工,2204,2024,112
432588104,合肥城建,2208,2025,102
376797125,泰和新材,2254,2022,124
212573585,洋河股份,2304,2024,227
212573585,洋河股份,2304,2023,108
212573585,洋河股份,2304,2022,121
212573585,洋河股份,2304,2021,138
212573585,洋河股份,2304,2020,108
212573585,洋河股份,2304,2019,134
212573585,洋河股份,2304,2018,140
185960942,天原股份,2386,2025,158
185960942,天原股份,2386,2018,167
185960942,天原股份,2386,2017,167
308646818,珠江啤酒,2461,2025,125
308646818,珠江啤酒,2461,2024,358
308646818,珠江啤酒,2461,2023,201
308646818,珠江啤酒,2461,2022,133
2400738742,云图控股,2539,2022,182
201603305,新疆交建,2941,2025,339
3374073520,南网能源,3035,2025,116
3374073520,南网能源,3035,2024,298
3374073520,南网能源,3035,2023,153
3374073520,南网能源,3035,2022,168
3374073520,南网能源,3035,2020,101
3374073520,南网能源,3035,2016,112
185098796,龙源技术,300105,2025,197
185098796,龙源技术,300105,2024,385
185098796,龙源技术,300105,2023,385
185098796,龙源技术,300105,2022,302
49537428,运达股份,300772,2025,169
202898300,浦发银行,600000,2025,246
202898300,浦发银行,600000,2024,238
202898300,浦发银行,600000,2023,260
202898300,浦发银行,600000,2022,195
16142957,上海机场,600009,2024,158
16142957,上海机场,600009,2023,153
16142957,上海机场,600009,2022,155
16142957,上海机场,600009,2021,196
16142957,上海机场,600009,2020,153
26450456,包钢股份,600010,2025,197
26450456,包钢股份,600010,2022,201
109095791,皖通高速,600012,2024,112
105024518,华夏银行,600015,2019,120
144003285,民生银行,600016,2025,161
144003285,民生银行,600016,2024,144
144003285,民生银行,600016,2023,136
144003285,民生银行,600016,2022,134
26487185,宝钢股份,600019,2025,115
26487185,宝钢股份,600019,2023,134
26487185,宝钢股份,600019,2022,138
26487185,宝钢股份,600019,2021,218
4845772,南方航空,600029,2024,253
4845772,南方航空,600029,2023,186
4845772,南方航空,600029,2022,173
4845772,南方航空,600029,2021,184
4845772,南方航空,600029,2020,195
4845772,南方航空,600029,2019,237
4845772,南方航空,600029,2018,158
79878189,招商银行,600036,2024,205
79878189,招商银行,600036,2023,139
4892397,华润双鹤,600062,2025,104
4892397,华润双鹤,600062,2024,179
23595027,特变电工,600089,2018,104
164356978,云天化,600096,2025,199
164356978,云天化,600096,2021,135
181073006,明星电力,600101,2025,113
181073006,明星电力,600101,2024,160
210492248,青山纸业,600103,2024,144
210492248,青山纸业,600103,2023,149
210492248,青山纸业,600103,2022,152
210492248,青山纸业,600103,2021,139
210492248,青山纸业,600103,2020,110
210492248,青山纸业,600103,2019,162
210492248,青山纸业,600103,2018,221
210492248,青山纸业,600103,2017,172
288117296,兴发集团,600141,2023,101
288117296,兴发集团,600141,2022,171
1974200,福田汽车,600166,2025,212
1974200,福田汽车,600166,2024,273
1974200,福田汽车,600166,2023,224
1974200,福田汽车,600166,2022,330
1974200,福田汽车,600166,2021,298
208531304,太原重工,600169,2024,122
30277821,兖矿能源,600188,2022,154
30277821,兖矿能源,600188,2021,135
30277821,兖矿能源,600188,2020,158
30277821,兖矿能源,600188,2019,146
779311121,沧州大化,600230,2025,109
10938250,国电南自,600268,2025,200
10938250,国电南自,600268,2024,472
10938250,国电南自,600268,2023,414
10938250,国电南自,600268,2022,115
184869495,安琪酵母,600298,2025,442
184869495,安琪酵母,600298,2024,441
184869495,安琪酵母,600298,2023,448
184869495,安琪酵母,600298,2022,260
184869495,安琪酵母,600298,2021,160
2527486,平高电气,600312,2025,386
2527486,平高电气,600312,2024,564
2527486,平高电气,600312,2023,531
2527486,平高电气,600312,2022,575
2527486,平高电气,600312,2021,254
2527486,平高电气,600312,2020,227
2527486,平高电气,600312,2019,548
2527486,平高电气,600312,2018,121
2527486,平高电气,600312,2017,158
3445722298,中盐化工,600328,2025,595
3445722298,中盐化工,600328,2024,775
3445722298,中盐化工,600328,2023,245
3445722298,中盐化工,600328,2022,259
3445722298,中盐化工,600328,2021,199
5111045,达仁堂,600329,2022,205
16328391,澳柯玛,600336,2025,370
16328391,澳柯玛,600336,2024,156
16328391,澳柯玛,600336,2023,371
16328391,澳柯玛,600336,2022,441
16328391,澳柯玛,600336,2021,263
16328391,澳柯玛,600336,2020,230
16328391,澳柯玛,600336,2019,213
16328391,澳柯玛,600336,2018,182
217256030,华阳股份,600348,2025,143
217256030,华阳股份,600348,2024,107
217256030,华阳股份,600348,2023,112
8848674,江西铜业,600362,2024,135
8848674,江西铜业,600362,2023,101
799246187,宁沪高速,600377,2024,113
799246187,宁沪高速,600377,2023,110
799246187,宁沪高速,600377,2022,151
799246187,宁沪高速,600377,2021,161
799246187,宁沪高速,600377,2020,113
412689936,宝光股份,600379,2023,150
218068076,盘江股份,600395,2025,368
218068076,盘江股份,600395,2024,412
218068076,盘江股份,600395,2023,170
218068076,盘江股份,600395,2022,111
246080958,华电辽能,600396,2025,319
3172894,国电南瑞,600406,2025,193
3172894,国电南瑞,600406,2022,126
332945115,昆药集团,600422,2025,152
864496712,华鲁恒升,600426,2024,141
864496712,华鲁恒升,600426,2022,265
864496712,华鲁恒升,600426,2021,142
864496712,华鲁恒升,600426,2020,130
864496712,华鲁恒升,600426,2019,106
