股票代码,股票名称,股票公司,行业,天眼查链接
1,平安银行,平安银行股份有限公司,货币金融服务,https://www.tianyancha.com/company/1024158539
2,万科A,万科企业股份有限公司,房地产业,https://www.tianyancha.com/company/2805040
4,*ST国华,深圳国华网安科技股份有限公司,软件和信息技术服务业,https://www.tianyancha.com/company/10586499
6,深振业A,深圳市振业(集团)股份有限公司,房地产业,https://m.tianyancha.com/company/485568977
7,全新好,深圳市全新好股份有限公司,房地产业,https://www.tianyancha.com/spatent/1582158671-dbb4
8,神州高铁,神州高铁技术股份有限公司,铁路、船舶、航空航天和其他运输设备制造业,https://www.tianyancha.com/sbranch/2960777734-baf6
9,中国宝安,中国宝安集团股份有限公司,其他金融业,https://www.tianyancha.com/company/2349241001
10,美丽生态,深圳美丽生态股份有限公司,土木工程建筑业,https://www.tianyancha.com/scanno/3186626458-6e86
11,深物业A,深圳市物业发展(集团)股份有限公司,房地产业,https://www.tianyancha.com/company/384627322
12,南玻A,中国南玻集团股份有限公司,非金属矿物制品业,https://www.tianyancha.com/sbranch/3187144606-9e19
14,沙河股份,沙河实业股份有限公司,房地产业,https://www.tianyancha.com/sstaff/872204577-9102
16,深康佳A,康佳集团股份有限公司,计算机、通信和其他电子设备制造业,https://www.tianyancha.com/steam/3187097506-8ec8
17,深中华A,深圳中华自行车(集团)股份有限公司,文教、工美、体育和娱乐用品制造业,https://www.tianyancha.com/company/2358692863
19,深粮控股,深圳市深粮控股股份有限公司,批发业,https://www.tianyancha.com/sholder/62582245-4202
20,深华发A,深圳中恒华发股份有限公司,计算机、通信和其他电子设备制造业,https://www.tianyancha.com/steam/3186689241-5265
21,深科技,深圳长城开发科技股份有限公司,计算机、通信和其他电子设备制造业,https://www.tianyancha.com/sinvest/3187078760-ad75
25,特力A,深圳市特力(集团)股份有限公司,批发业,https://www.tianyancha.com/sbid/2323760678-0ebe
26,飞亚达,飞亚达精密科技股份有限公司,零售业,https://www.tianyancha.com/company/556212852
27,深圳能源,深圳能源集团股份有限公司,电力、热力生产和供应业,https://www.tianyancha.com/company/25955398
28,国药一致,国药集团一致药业股份有限公司,批发业,https://www.tianyancha.com/stm/2988815678-b262
29,深深房A,深圳经济特区房地产(集团)股份有限公司,房地产业,https://www.tianyancha.com/company/21077868
30,富奥股份,富奥汽车零部件股份有限公司,汽车制造业,https://www.tianyancha.com/company/503171185
31,大悦城,大悦城控股集团股份有限公司,房地产业,https://www.tianyancha.com/company/3304027335
32,深桑达A,深圳市桑达实业股份有限公司,建筑安装业,https://www.tianyancha.com/steam/917528217-b9ea
34,神州数码,神州数码集团股份有限公司,批发业,https://www.tianyancha.com/sholder/546769585-ad69
35,中国天楹,中国天楹股份有限公司,生态保护和环境治理业,https://www.tianyancha.com/company/869685992
36,华联控股,华联控股股份有限公司,房地产业,https://www.tianyancha.com/sinvest/2987082311-a4e8
37,深南电A,深圳南山热电股份有限公司,电力、热力生产和供应业,https://www.tianyancha.com/sabnormal/2990525349-c8f1
39,中集集团,中国国际海运集装箱(集团)股份有限公司,金属制品业,https://www.tianyancha.com/company-jyzk/25954846
42,中洲控股,深圳市中洲投资控股股份有限公司,房地产业,https://www.tianyancha.com/sinvest/644571650-862a
45,深纺织A,深圳市纺织(集团)股份有限公司,计算机、通信和其他电子设备制造业,https://www.tianyancha.com/sicp/738566831-88dd
48,京基智农,深圳市京基智农时代股份有限公司,畜牧业,https://www.tianyancha.com/company/2352841043
49,德赛电池,深圳市德赛电池科技股份有限公司,电气机械和器材制造业,https://www.tianyancha.com/srecruit/1132693202-173a
50,深天马A,天马微电子股份有限公司,计算机、通信和其他电子设备制造业,https://www.tianyancha.com/sfindNews/688155470-9db4/p2
55,方大集团,方大集团股份有限公司,金属制品业,https://www.tianyancha.com/company/3187092823
56,皇庭国际,深圳市皇庭国际企业股份有限公司,商务服务业,https://www.tianyancha.com/steam/3007621864-ff92
58,深赛格,深圳赛格股份有限公司,商务服务业,https://www.tianyancha.com/sequity/518102584-7f56
59,华锦股份,北方华锦化学工业股份有限公司,石油、煤炭及其他燃料加工业,https://www.tianyancha.com/company-jyzk/319001690
60,中金岭南,深圳市中金岭南有色金属股份有限公司,有色金属冶炼和压延加工业,https://www.tianyancha.com/company/226248034
61,农产品,深圳市农产品集团股份有限公司,商务服务业,https://www.tianyancha.com/sfindNews/212462959-599c
62,深圳华强,深圳华强实业股份有限公司,批发业,https://www.tianyancha.com/company/422023775
63,中兴通讯,中兴通讯股份有限公司,计算机、通信和其他电子设备制造业,https://www.tianyancha.com/sbranch/100609940-dd0b
65,北方国际,北方国际合作股份有限公司,批发业,https://www.tianyancha.com/sinvest/3187121889-e421
66,中国长城,中国长城科技集团股份有限公司,计算机、通信和其他电子设备制造业,https://www.tianyancha.com/sstaff/10398718-f1c0
68,华控赛格,深圳华控赛格股份有限公司,批发业,https://www.tianyancha.com/company/3187079031
69,华侨城A,深圳华侨城股份有限公司,房地产业,https://www.tianyancha.com/sstaff/1596307379-8ee7
70,ST特信,深圳市特发信息股份有限公司,计算机、通信和其他电子设备制造业,https://www.tianyancha.com/company/159583716
78,海王生物,深圳市海王生物工程股份有限公司,批发业,https://www.tianyancha.com/srecruit/3185166797-9529
88,盐田港,深圳市盐田港股份有限公司,水上运输业,https://www.tianyancha.com/company/317351197
89,深圳机场,深圳市机场股份有限公司,航空运输业,https://www.tianyancha.com/company/28269196
90,天健集团,深圳市天健(集团)股份有限公司,土木工程建筑业,https://www.tianyancha.com/spatent/3186676368-1699
96,广聚能源,深圳市广聚能源股份有限公司,批发业,https://www.tianyancha.com/company/443756970/
99,中信海直,中信海洋直升机股份有限公司,航空运输业,https://www.tianyancha.com/sstaff/26787533-f4be
100,TCL科技,TCL科技集团股份有限公司,计算机、通信和其他电子设备制造业,https://www.tianyancha.com/company/2791911
151,中成股份,中成进出口股份有限公司,批发业,https://www.tianyancha.com/stm/87146393-3e3f
153,丰原药业,安徽丰原药业股份有限公司,医药制造业,https://www.tianyancha.com/sicp/3217491481-1979
155,川能动力,四川省新能源动力股份有限公司,电力、热力生产和供应业,https://www.tianyancha.com/srecruit/150781466-2bed
156,华数传媒,华数传媒控股股份有限公司,电信、广播电视和卫星传输服务,https://www.tianyancha.com/sfindNews/53037198-bd4f/p4
157,中联重科,中联重科股份有限公司,专用设备制造业,https://www.tianyancha.com/company/23718623
158,常山北明,石家庄常山北明科技股份有限公司,软件和信息技术服务业,https://www.tianyancha.com/company/3089768914
159,国际实业,新疆国际实业股份有限公司,批发业,https://m.tianyancha.com/company/26107310
166,申万宏源,申万宏源集团股份有限公司,资本市场服务,https://www.tianyancha.com/stm/26267874-7ad4
301,东方盛虹,江苏东方盛虹股份有限公司,化学原料和化学制品制造业,https://www.tianyancha.com/sholder/2970996076-5be3
333,美的集团,美的集团股份有限公司,电气机械和器材制造业,https://www.tianyancha.com/company/311225958
338,潍柴动力,潍柴动力股份有限公司,汽车制造业,https://www.tianyancha.com/company/24610687
400,许继电气,许继电气股份有限公司,电气机械和器材制造业,https://www.tianyancha.com/spatent/1266098-5246/p274
401,冀东水泥,唐山冀东水泥股份有限公司,非金属矿物制品业,https://www.tianyancha.com/company/23758840
402,金融街,金融街控股股份有限公司,房地产业,https://www.tianyancha.com/company/2150144
403,派林生物,派斯双林生物制药股份有限公司,医药制造业,https://www.tianyancha.com/sholder/318931073-8930
404,长虹华意,长虹华意压缩机股份有限公司,通用设备制造业,https://www.tianyancha.com/srcheck/3212135433-dfc1
407,胜利股份,山东胜利股份有限公司,燃气生产和供应业,https://www.tianyancha.com/company/121784541
408,藏格矿业,藏格矿业股份有限公司,化学原料和化学制品制造业,https://www.tianyancha.com/steam/3014542379-69da
409,云鼎科技,云鼎科技股份有限公司,软件和信息技术服务业,https://www.tianyancha.com/company/389841164
410,沈阳机床,沈阳机床股份有限公司,通用设备制造业,https://www.tianyancha.com/company/864724280
411,英特集团,浙江英特集团股份有限公司,批发业,https://www.tianyancha.com/company/2320997314
415,渤海租赁,渤海租赁股份有限公司,租赁业,https://www.tianyancha.com/steam/2347384604-ac04
417,合百集团,合肥百货大楼集团股份有限公司,零售业,https://www.tianyancha.com/steam/423987722-e9dd
419,通程控股,长沙通程控股股份有限公司,零售业,https://www.tianyancha.com/company/3186069286
420,吉林化纤,吉林化纤股份有限公司,化学纤维制造业,https://www.tianyancha.com/company-jyzk/187834027
421,南京公用,南京公用发展股份有限公司,燃气生产和供应业,https://www.tianyancha.com/sstaff/26261736-e8c3
422,湖北宜化,湖北宜化化工股份有限公司,化学原料和化学制品制造业,https://www.tianyancha.com/company/12644958
423,东阿阿胶,东阿阿胶股份有限公司,医药制造业,https://www.tianyancha.com/company/21073257
425,徐工机械,徐工集团工程机械股份有限公司,专用设备制造业,https://www.tianyancha.com/scertificate/878693869-b12d
426,兴业银锡,内蒙古兴业银锡矿业股份有限公司,有色金属矿采选业,https://www.tianyancha.com/steam/2969232870-cc14
428,华天酒店,华天酒店集团股份有限公司,住宿业,https://m.tianyancha.com/company/363208213
429,粤高速A,广东省高速公路发展股份有限公司,道路运输业,https://www.tianyancha.com/company/17267891
430,ST张家界,张家界旅游集团股份有限公司,公共设施管理业,https://www.tianyancha.com/steam/22698045-88dc
488,ST晨鸣,山东晨鸣纸业集团股份有限公司,造纸和纸制品业,https://www.tianyancha.com/company/53674966
498,山东路桥,山东高速路桥集团股份有限公司,土木工程建筑业,https://www.tianyancha.com/steam/436518436-435f
501,武商集团,武商集团股份有限公司,零售业,https://www.tianyancha.com/sbranch/545463803-22d7/p2
503,国新健康,国新健康保障服务集团股份有限公司,互联网和相关服务,https://www.tianyancha.com/sinvest/1322601-7727
504,*ST生物,南华生物医药股份有限公司,科技推广和应用服务业,https://www.tianyancha.com/company/178117234
505,京粮控股,海南京粮控股股份有限公司,农副食品加工业,https://www.tianyancha.com/steam/3162833796-8e04
506,中润资源,中润资源投资股份有限公司,有色金属矿采选业,https://m.tianyancha.com/company/864308142
507,珠海港,珠海港股份有限公司,水上运输业,https://m.tianyancha.com/company/427674176
509,华塑控股,华塑控股股份有限公司,计算机、通信和其他电子设备制造业,https://www.tianyancha.com/company/257409076
510,新金路,四川新金路集团股份有限公司,化学原料和化学制品制造业,https://www.tianyancha.com/srecruit/140143668-7caf
513,丽珠集团,丽珠医药集团股份有限公司,医药制造业,https://www.tianyancha.com/company/26171626
514,渝开发,重庆渝开发股份有限公司,房地产业,https://www.tianyancha.com/brand/b54e7156437
516,国际医学,西安国际医学投资股份有限公司,卫生,https://www.tianyancha.com/sbonus/7626571-ea41
517,荣安地产,荣安地产股份有限公司,房地产业,https://www.tianyancha.com/company/75632903
518,*ST四环,江苏四环生物股份有限公司,医药制造业,https://www.tianyancha.com/sstaff/3187086651-6e73
519,中兵红箭,中兵红箭股份有限公司,专用设备制造业,https://www.tianyancha.com/company/174611462
520,凤凰航运,凤凰航运(武汉)股份有限公司,水上运输业,https://www.tianyancha.com/sicp/1021168844-4b47
521,长虹美菱,长虹美菱股份有限公司,电气机械和器材制造业,https://www.tianyancha.com/company-jyzk/3205101568
523,红棉股份,广州市红棉智汇科创股份有限公司,农副食品加工业,https://www.tianyancha.com/company/3187214857
524,岭南控股,广州岭南集团控股股份有限公司,商务服务业,https://www.tianyancha.com/steam/613413606-7cdf
525,红太阳,南京红太阳股份有限公司,化学原料和化学制品制造业,https://www.tianyancha.com/steam/3185521123-da0a
526,学大教育,学大(厦门)教育科技集团股份有限公司,教育,https://www.tianyancha.com/steam/3283441048-b1b8
528,柳工,广西柳工机械股份有限公司,专用设备制造业,https://www.tianyancha.com/spatent/665989-f9b5/p2
529,广弘控股,广东广弘控股股份有限公司,农副食品加工业,https://www.tianyancha.com/steam/419540804-342f
530,冰山冷热,冰山冷热科技股份有限公司,通用设备制造业,https://www.tianyancha.com/company/15647313
531,穗恒运A,广州恒运企业集团股份有限公司,电力、热力生产和供应业,https://www.tianyancha.com/scorpbasic/3186840111-87c8
532,华金资本,珠海华金资本股份有限公司,综合,https://www.tianyancha.com/steam/441492517-e650
533,顺钠股份,广东顺钠电气股份有限公司,电气机械和器材制造业,https://www.tianyancha.com/sstaff/472503835-9886
534,万泽股份,万泽实业股份有限公司,医药制造业,https://www.tianyancha.com/company/727385225
536,华映科技,华映科技(集团)股份有限公司,计算机、通信和其他电子设备制造业,https://www.tianyancha.com/steam/230629775-23c9
537,中绿电,天津中绿电投资股份有限公司,电力、热力生产和供应业,https://www.tianyancha.com/sfindNews/141107197-8765/p2
538,云南白药,云南白药集团股份有限公司,医药制造业,https://www.tianyancha.com/company/10614474
539,粤电力A,广东电力发展股份有限公司,电力、热力生产和供应业,https://m.tianyancha.com/company/15825149
541,佛山照明,佛山电器照明股份有限公司,电气机械和器材制造业,https://www.tianyancha.com/spatent/189667023-041a/p90
543,皖能电力,安徽省皖能股份有限公司,电力、热力生产和供应业,https://www.tianyancha.com/sstaff/195948204-0418
544,中原环保,中原环保股份有限公司,水的生产和供应业,https://www.tianyancha.com/sfproduct/442192091-14cc
545,金浦钛业,金浦钛业股份有限公司,化学原料和化学制品制造业,https://www.tianyancha.com/scertificate/3025416634-6417
546,金圆股份,金圆环保股份有限公司,废弃资源综合利用业,https://www.tianyancha.com/steam/2347381135-ac70
547,航天发展,航天工业发展股份有限公司,计算机、通信和其他电子设备制造业,https://www.tianyancha.com/ssecbasic/863842242-9378
548,湖南投资,湖南投资集团股份有限公司,道路运输业,https://www.tianyancha.com/company/864856442
550,江铃汽车,江铃汽车股份有限公司,汽车制造业,https://www.tianyancha.com/steam/23335480-90b7
551,创元科技,创元科技股份有限公司,专用设备制造业,https://www.tianyancha.com/company/2456531077
552,甘肃能化,甘肃能化股份有限公司,煤炭开采和洗选业,https://m.tianyancha.com/company/221146926
553,安道麦A,安道麦股份有限公司,化学原料和化学制品制造业,https://www.tianyancha.com/srecruit/1171260989-f23b
554,泰山石油,中国石化山东泰山石油股份有限公司,批发业,https://www.tianyancha.com/sbid/728851349-cee2
555,神州信息,神州数码信息服务集团股份有限公司,软件和信息技术服务业,https://www.tianyancha.com/company/24247107
557,西部创业,宁夏西部创业实业股份有限公司,铁路运输业,https://www.tianyancha.com/company/20210102
558,天府文旅,成都新天府文化旅游发展股份有限公司,房地产业,https://www.tianyancha.com/swechat/49365002-2dfe
559,万向钱潮,万向钱潮股份公司,汽车制造业,https://www.tianyancha.com/sicp/37751080-6774
560,我爱我家,我爱我家控股集团股份有限公司,房地产业,https://www.tianyancha.com/company/301288607
561,烽火电子,陕西烽火电子股份有限公司,计算机、通信和其他电子设备制造业,https://www.tianyancha.com/sholder/863908834-9ce1
563,陕国投A,陕西省国际信托股份有限公司,其他金融业,https://www.tianyancha.com/steam/2943472478-6b5a
564,供销大集,供销大集集团股份有限公司,零售业,https://www.tianyancha.com/company/511089270
565,渝三峡A,重庆三峡油漆股份有限公司,化学原料和化学制品制造业,https://www.tianyancha.com/company/15131548
566,海南海药,海南海药股份有限公司,医药制造业,https://www.tianyancha.com/staxgrade/1499769871-972f
567,海德股份,海南海德资本管理股份有限公司,其他金融业,https://www.tianyancha.com/scpunishment/2349008282-827e
568,泸州老窖,泸州老窖股份有限公司,酒、饮料和精制茶制造业,https://www.tianyancha.com/sproduct/254818442-3574
570,苏常柴A,常柴股份有限公司,通用设备制造业,https://www.tianyancha.com/spatent/7876938-0d08/p7
571,新大洲A,新大洲控股股份有限公司,煤炭开采和洗选业,https://www.tianyancha.com/stm/2999742937-4c4b
572,海马汽车,海马汽车股份有限公司,汽车制造业,https://www.tianyancha.com/company/3338162057
573,粤宏远A,东莞宏远工业区股份有限公司,房地产业,https://www.tianyancha.com/steam/366716207-9e0a
576,甘化科工,广东甘化科工股份有限公司,计算机、通信和其他电子设备制造业,https://www.tianyancha.com/stm/1136282409-42cb
581,威孚高科,无锡威孚高科技集团股份有限公司,汽车制造业,https://www.tianyancha.com/steam/2428177917-f155
582,北部湾港,北部湾港股份有限公司,水上运输业,https://www.tianyancha.com/company/1688192039
584,工智退,江苏哈工智能机器人股份有限公司,通用设备制造业,https://www.tianyancha.com/company/3090688159
586,汇源通信,四川汇源光通信股份有限公司,电气机械和器材制造业,https://www.tianyancha.com/company/306941189
