股票名称,股票代码,供应商名称,采购占比,采购金额,公告时间,数据来源,供应商重复次数
*ST国华,4,武汉用通医药有限公司,16.34%,1086.21,2019-04-26 00:00:00,年报,2
*ST国华,4,珠海乐聚互娱网络科技有限公司,12.00%,797.66,2019-04-26 00:00:00,年报,1
*ST国华,4,北京藏卫信康医药研发有限公司,4.67%,310.34,2019-04-26 00:00:00,年报,2
*ST国华,4,上海安义生化实业有限公司,2.29%,0.02,2019-04-26 00:00:00,年报,1
*ST国华,4,山东北大高科华泰制药有限公司,无,,2018-11-08 00:00:00,招投标公告,1
*ST国华,4,武汉用通医药有限公司,无,7298.85,2018-11-08 00:00:00,招投标公告,1
*ST国华,4,珠海乐聚互娱网络科技有限公司,9.37%,494.47,2018-04-28 00:00:00,年报,1
*ST国华,4,山东利强光伏科技有限公司,4.37%,230.77,2018-04-28 00:00:00,年报,1
*ST国华,4,上海安义生化实业有限公司,6.16%,325.12,2018-04-28 00:00:00,年报,1
*ST国华,4,湖南中启制药有限公司岳阳分公司,6.01%,317.27,2018-04-28 00:00:00,年报,1
*ST国华,4,湖南尔康医药经营有限公司,7.52%,396.58,2018-04-28 00:00:00,年报,2
*ST国华,4,江苏华兰药用新材料股份有限公司,1.09%,100.91,2017-04-11 00:00:00,年报,2
*ST国华,4,江苏通州二建建设工程集团有限公司,32.26%,3000.00,2017-04-11 00:00:00,年报,1
*ST国华,4,青海制药有限公司,1.38%,128.71,2017-04-11 00:00:00,年报,2
*ST国华,4,上海响拍广告有限公司,1.13%,104.98,2017-04-11 00:00:00,年报,1
*ST国华,4,上海安义生化实业有限公司,1.07%,99.35,2017-04-11 00:00:00,年报,1
*ST国华,4,江苏通州二建建设工程集团有限公司,35.77%,2703.55,2016-04-30 00:00:00,年报,1
*ST国华,4,广东电白建设集团有限公司,21.17%,1600.00,2016-04-30 00:00:00,年报,2
*ST国华,4,上海安义生化实业有限公司,8.19%,618.66,2016-04-30 00:00:00,年报,1
*ST国华,4,南通麒麟建筑安装工程有限公司,4.77%,360.72,2016-04-30 00:00:00,年报,1
*ST国华,4,通力电梯有限公司,2.17%,164.19,2016-04-30 00:00:00,年报,2
*ST国华,4,广东电白建设集团有限公司,18.55%,2423.50,2015-04-30 00:00:00,年报,2
*ST国华,4,江苏通州二建建设工程集团有限公司,17.56%,2293.30,2015-04-30 00:00:00,年报,1
*ST国华,4,浙江海翔药业股份有限公司,2.08%,271.79,2015-04-30 00:00:00,年报,2
*ST国华,4,上海安义生化实业有限公司,1.74%,227.39,2015-04-30 00:00:00,年报,1
*ST国华,4,广东电白建设集团有限公司,47.30%,2493.63,2014-04-22 00:00:00,年报,2
*ST国华,4,江苏通州二建建设工程集团有限公司,13.68%,720.98,2014-04-22 00:00:00,年报,1
*ST国华,4,汤始建华建材（上海）有限公司,10.00%,526.94,2014-04-22 00:00:00,年报,1
*ST国华,4,河南天方药业股份有限公司,4.65%,245.25,2014-04-22 00:00:00,年报,2
*ST国华,4,同济大学建筑设计研究院（集团）有限公司,3.97%,209.07,2014-04-22 00:00:00,年报,2
*ST国华,4,广东电白建设集团有限公司,51.00%,2106.48,2013-04-20 00:00:00,年报,2
*ST国华,4,河南天方药业股份有限公司,4.77%,197.00,2013-04-20 00:00:00,年报,2
*ST国华,4,江苏华兰药用新材料股份有限公司,4.30%,177.81,2013-04-20 00:00:00,年报,2
*ST国华,4,沧州四星玻璃股份有限公司,2.23%,92.05,2013-04-20 00:00:00,年报,2
深振业A,6,中国证券报有限责任公司,无,8.00,2025-07-08 00:00:00,招投标公告,1
深振业A,6,深圳中泓在线股份有限公司,无,19.70,2025-06-30 00:00:00,招投标公告,1
深振业A,6,深圳市筑道建筑工程设计有限公司,无,,2025-06-23 00:00:00,招投标公告,2
深振业A,6,广东联富建设工程有限公司,无,7504.97,2025-06-21 00:00:00,招投标公告,2
深振业A,6,深圳市明通建设工程有限公司,无,678.82,2025-06-21 00:00:00,招投标公告,1
深振业A,6,深圳汉唐建设集团有限公司,无,767.60,2025-06-21 00:00:00,招投标公告,2
深振业A,6,深圳市建匠科工有限公司,无,546.24,2025-06-21 00:00:00,招投标公告,2
深振业A,6,深圳市信宇建筑工程有限公司,无,9603.76,2025-06-21 00:00:00,招投标公告,2
深振业A,6,深圳市特发工程建设监理有限公司,无,330.52,2025-06-21 00:00:00,招投标公告,2
