企业名称,供应商,采购占比,采购金额,报告期,数据来源,关联关系
南方电网电力科技股份有限公司,上海科梁信息科技股份有限公司,-,-,2025-07-02,招投标公告,-
南方电网电力科技股份有限公司,开平市任达电器实业有限公司,-,-,2025-07-02,招投标公告,-
南方电网电力科技股份有限公司,中山市聚云软件科技有限公司,-,-,2025-07-02,招投标公告,-
南方电网电力科技股份有限公司,广州信璟德科技有限公司,-,-,2025-07-01,招投标公告,-
南方电网电力科技股份有限公司,泰科实验室管理（深圳）有限公司,-,-,2025-07-01,招投标公告,-
南方电网电力科技股份有限公司,贵州华谊联盛科技有限公司,-,-,2025-07-01,招投标公告,-
南方电网电力科技股份有限公司,星逻人工智能技术（上海）有限公司,-,-,2025-06-30,招投标公告,-
南方电网电力科技股份有限公司,履安科技有限公司,-,-,2025-06-30,招投标公告,-
南方电网电力科技股份有限公司,珠海菲森电力科技有限公司,-,-,2025-06-27,招投标公告,-
南方电网电力科技股份有限公司,中国电力科学研究院有限公司,-,-,2025-06-26,招投标公告,-
南方电网电力科技股份有限公司,广州紫旭信息技术有限公司,-,-,2025-06-25,招投标公告,-
南方电网电力科技股份有限公司,广东广澳能源科技有限公司,-,-,2025-06-25,招投标公告,-
南方电网电力科技股份有限公司,广州知行智能技术有限公司,-,-,2025-06-25,招投标公告,-
南方电网电力科技股份有限公司,良云智慧能源（广东）有限公司,-,-,2025-06-20,招投标公告,-
南方电网电力科技股份有限公司,广东九联科技股份有限公司,-,-,2025-06-17,招投标公告,-
南方电网电力科技股份有限公司,广州鲁邦通物联网科技股份有限公司,-,-,2025-06-17,招投标公告,-
南方电网电力科技股份有限公司,深圳市大族锂电智能装备股份有限公司,-,140.00万元,2025-06-13,招投标公告,-
南方电网电力科技股份有限公司,广州兴森快捷电路科技有限公司,-,-,2025-06-13,招投标公告,-
南方电网电力科技股份有限公司,工业和信息化部电子第五研究所,-,-,2025-06-13,招投标公告,-
南方电网电力科技股份有限公司,广州金智技术有限公司,-,-,2025-06-12,招投标公告,-
南方电网电力科技股份有限公司,国家能源集团科学技术研究院有限公司,-,-,2025-06-10,招投标公告,-
南方电网电力科技股份有限公司,广州南方测绘科技股份有限公司,-,-,2025-06-10,招投标公告,-
南方电网电力科技股份有限公司,北京博菲科特科技有限公司,-,-,2025-06-09,招投标公告,-
南方电网电力科技股份有限公司,云智慧（北京）科技有限公司,-,-,2025-06-06,招投标公告,-
南方电网电力科技股份有限公司,联桥科技有限公司,-,-,2025-06-03,招投标公告,-
南方电网电力科技股份有限公司,北京数途科技有限公司,-,-,2025-06-03,招投标公告,-
南方电网电力科技股份有限公司,深圳市硕丞实业发展有限公司,-,-,2025-06-03,招投标公告,-
南方电网电力科技股份有限公司,南京科瑞电力科技有限公司,-,-,2025-05-29,招投标公告,-
南方电网电力科技股份有限公司,广州市保诚印务有限公司,-,-,2025-05-28,招投标公告,-
南方电网电力科技股份有限公司,中国国际科技促进会,-,-,2025-05-27,招投标公告,-
南方电网电力科技股份有限公司,广东盘古信息科技股份有限公司,-,-,2025-05-21,招投标公告,-
南方电网电力科技股份有限公司,珠高电气检测有限公司,-,-,2025-05-20,招投标公告,-
南方电网电力科技股份有限公司,科大智能电气技术有限公司,-,-,2025-05-20,招投标公告,-
南方电网电力科技股份有限公司,河南源网荷储电气研究院有限公司,-,-,2025-05-19,招投标公告,-
南方电网电力科技股份有限公司,控软自动化技术（北京）有限公司,-,-,2025-05-15,招投标公告,-
南方电网电力科技股份有限公司,上海电气风电集团股份有限公司,-,-,2025-05-15,招投标公告,-
南方电网电力科技股份有限公司,广州力航培训有限公司,-,-,2025-04-30,招投标公告,-
南方电网电力科技股份有限公司,深圳市远界管理咨询有限公司,-,-,2025-04-30,招投标公告,-
南方电网电力科技股份有限公司,北京智专北斗知识产权咨询有限公司,-,-,2025-04-29,招投标公告,-
南方电网电力科技股份有限公司,北京万汇标准咨询服务有限公司,-,-,2025-04-29,招投标公告,-
南方电网电力科技股份有限公司,北京致远弘信标准技术有限公司,-,-,2025-04-29,招投标公告,-
南方电网电力科技股份有限公司,采购谈判供应商为国电南瑞南京控制系统有限公司,-,-,2025-04-28,招投标公告,-
南方电网电力科技股份有限公司,广东财兴资产评估土地房地产估价有限公司,-,-,2025-04-24,招投标公告,-
南方电网电力科技股份有限公司,武汉新电电气股份有限公司,-,289.32万元,2025-04-24,供应商公告,否
南方电网电力科技股份有限公司,深圳市东视电子有限公司,-,-,2025-04-23,招投标公告,-
南方电网电力科技股份有限公司,图迹科技有限公司,-,-,2025-04-21,招投标公告,-
南方电网电力科技股份有限公司,北京谐振科技有限公司,-,-,2025-04-18,招投标公告,-
南方电网电力科技股份有限公司,采购谈判供应商为上海昱章电气股份有限公司,-,-,2025-04-18,招投标公告,-
南方电网电力科技股份有限公司,中国信息通信研究院,-,-,2025-04-18,招投标公告,-
南方电网电力科技股份有限公司,采购谈判供应商为南京南瑞继保工程技术有限公司,-,-,2025-04-17,招投标公告,-
南方电网电力科技股份有限公司,建成工程咨询股份有限公司,-,-,2025-04-16,招投标公告,-
南方电网电力科技股份有限公司,采购谈判供应商为深圳深南电环保有限公司,-,-,2025-04-15,招投标公告,-
南方电网电力科技股份有限公司,深圳市全景网络有限公司,-,-,2025-04-14,招投标公告,-
南方电网电力科技股份有限公司,中国南方电网有限责任公司,-,-,2025-04-14,招投标公告,-
南方电网电力科技股份有限公司,广州数鹏通科技有限公司,-,-,2025-04-11,招投标公告,-
南方电网电力科技股份有限公司,武汉科迪奥电力科技有限公司,-,-,2025-04-11,招投标公告,-
南方电网电力科技股份有限公司,深圳中质安股份有限公司,-,-,2025-04-10,招投标公告,-
南方电网电力科技股份有限公司,南京理工大学,-,-,2025-04-07,招投标公告,-
南方电网电力科技股份有限公司,中铁二十五局集团（广东）资产运营有限公司,-,-,2025-04-03,招投标公告,-
南方电网电力科技股份有限公司,广州微剪美发有限公司,-,-,2025-04-03,招投标公告,-
南方电网电力科技股份有限公司,湖南联诚轨道装备有限公司,-,-,2025-03-04,招投标公告,-
南方电网电力科技股份有限公司,珠海华网科技有限责任公司,-,-,2025-02-27,招投标公告,-
南方电网电力科技股份有限公司,天威保变（合肥）变压器有限公司,-,0.02万元,2025-02-24,招投标公告,-
南方电网电力科技股份有限公司,中国南方电网有限责任公司北京分公司,-,-,2025-02-11,招投标公告,-
南方电网电力科技股份有限公司,南京东博智慧能源研究院有限公司,-,-,2025-02-08,招投标公告,-
南方电网电力科技股份有限公司,上海诺奕达机电设备有限公司,-,-,2025-01-22,招投标公告,-
南方电网电力科技股份有限公司,广东粤电科试验检测技术有限公司,-,490.00万元,2025-01-22,招投标公告,-
南方电网电力科技股份有限公司,江苏华辰变压器股份有限公司,-,-,2025-01-21,招投标公告,-
南方电网电力科技股份有限公司,广州海颐软件有限公司,-,0.20万元,2025-01-21,招投标公告,-
南方电网电力科技股份有限公司,广州擎天实业有限公司,-,-,2025-01-20,招投标公告,-
南方电网电力科技股份有限公司,南方电网数字传媒科技有限公司,-,-,2025-01-16,招投标公告,-
南方电网电力科技股份有限公司,成都硕蕊电器设备有限公司,-,-,2025-01-16,招投标公告,-
南方电网电力科技股份有限公司,深圳惠能智联科技有限公司,-,-,2025-01-14,招投标公告,-
南方电网电力科技股份有限公司,湖南湘江电缆有限公司,-,-,2025-01-13,招投标公告,-
南方电网电力科技股份有限公司,线上研发共享管控系统,-,-,2025-01-13,招投标公告,-
南方电网电力科技股份有限公司,珠海市科宏电子科技有限公司,-,-,2025-01-13,招投标公告,-
南方电网电力科技股份有限公司,河南臻干活工程有限公司,-,-,2025-01-09,招投标公告,-
南方电网电力科技股份有限公司,深圳森士达信息科技有限公司,-,-,2025-01-09,招投标公告,-
南方电网电力科技股份有限公司,马克威尔（广州）电气有限公司,-,-,2025-01-07,招投标公告,-
南方电网电力科技股份有限公司,厦门唯恩电气有限公司,-,-,2025-01-06,招投标公告,-
