企业名称,客户,销售占比,销售金额,报告期,数据来源,关联关系
天下秀数字科技（集团）股份有限公司,雅诗兰黛（上海）商贸有限公司,-,27430.40万元,2022-04-19,年报,-
天下秀数字科技（集团）股份有限公司,欧莱雅（中国）有限公司,8.94%,17680.53万元,2020-04-11,年报,-
天下秀数字科技（集团）股份有限公司,北京再想网络科技发展有限公司,4.58%,9053.71万元,2020-04-11,年报,-
天下秀数字科技（集团）股份有限公司,华为终端有限公司,3.65%,7216.59万元,2020-04-11,年报,-
天下秀数字科技（集团）股份有限公司,上海共联通信信息发展有限公司,17.24%,1602.01万元,2016-04-29,年报,-
天下秀数字科技（集团）股份有限公司,泰兴市中泰城市建设投资有限公司,8.94%,830.19万元,2016-04-29,年报,-
天下秀数字科技（集团）股份有限公司,上海普天邮通科技股份有限公司,8.65%,803.23万元,2016-04-29,年报,-
天下秀数字科技（集团）股份有限公司,南宁绿地颖恺投资有限公司,7.81%,726.04万元,2016-04-29,年报,-
天下秀数字科技（集团）股份有限公司,贵州中科建设有限公司,4.46%,414.17万元,2016-04-29,年报,-
天下秀数字科技（集团）股份有限公司,沈阳华凌房地产有限公司,9.21%,194.40万元,2014-08-12,年报,-
天下秀数字科技（集团）股份有限公司,湖南中锴置业有限公司,8.17%,172.42万元,2014-08-12,年报,-
天下秀数字科技（集团）股份有限公司,青山湖圣园（杭州）置业有限公司,2.75%,58.13万元,2014-08-12,年报,-
天下秀数字科技（集团）股份有限公司,杭州西溪邻里商业街开发经营有限公司,2.37%,50.00万元,2014-08-12,年报,-
天下秀数字科技（集团）股份有限公司,成都郡原置业有限公司,2.84%,60.00万元,2014-08-12,年报,-
天下秀数字科技（集团）股份有限公司,杭州天名房地产有限公司,6.55%,278.73万元,2014-04-29,年报,-
天下秀数字科技（集团）股份有限公司,湖南科瑞鸿泰医药有限公司,7.96%,70.13万元,2010-04-30,年报,-
天下秀数字科技（集团）股份有限公司,一心堂药业集团股份有限公司,7.26%,63.98万元,2010-04-30,年报,-
天下秀数字科技（集团）股份有限公司,国药控股国大药房有限公司,4.19%,36.95万元,2010-04-30,年报,-
天下秀数字科技（集团）股份有限公司,安徽阜阳第一药业有限公司,3.44%,30.27万元,2010-04-30,年报,-
天下秀数字科技（集团）股份有限公司,深圳市海王易点药医药有限公司,3.36%,29.56万元,2010-04-30,年报,-
安徽安科生物工程（集团）股份有限公司,蚌埠医科大学第一附属医院,-,-,2025-06-10,招投标公告,-
安徽安科生物工程（集团）股份有限公司,河北省医用药品器械集中采购中心,-,-,2025-03-06,招投标公告,-
安徽安科生物工程（集团）股份有限公司,四川省人民医院,-,-,2024-12-24,招投标公告,-
安徽安科生物工程（集团）股份有限公司,合肥市天使投资基金有限公司,-,-,2024-07-24,招投标公告,-
安徽安科生物工程（集团）股份有限公司,福建省医疗保障局,-,-,2024-07-02,招投标公告,-
安徽安科生物工程（集团）股份有限公司,合肥高新科技创业投资有限公司,-,-,2024-04-16,招投标公告,-
