项目,发布时间,供应商（乙方）,法定代表人,联系方式,合同金额（元）
关于笔记本电脑的框架协议合同公告,2025-07-02 18:04:54,上海宏紫信息科技有限公司,唐琼(女),15000860507,7980.00
初中学业水平考试（非计分科目）命题及实施公告,2025-07-02 17:33:26,上海版专印务有限公司,周维蕾(女),021-54258065,1419934.40
关于预算绩效评价咨询服务的框架协议合同公告,2025-07-02 17:14:56,上海文汇会计师事务所有限公司,张兵(男),18918285521,50000.00
关于A4打印纸的框架协议合同公告,2025-07-02 17:07:03,上海兴诚办公用品有限公司,周美兴(男),021-64729999,8400.00
关于A3打印纸的框架协议合同公告,2025-07-02 17:05:49,上海兴诚办公用品有限公司,周美兴(男),021-64729999,240.00
上海市养志康复医院（上海市阳光康复中心）医疗设备1公告,2025-07-02 17:01:05,上药云益商医疗服务（上海）有限公司,向恩亮(男),021-37730011,2245500.00
关于预算绩效评价咨询服务的框架协议合同公告,2025-07-02 16:57:40,上海华安会计师事务所有限公司,杨怡闻(女),13918390631,40000.00
关于会计审计的框架协议合同公告,2025-07-02 16:56:33,上海华安会计师事务所有限公司,杨怡闻(女),13918390631,50000.00
上海科技大学硬X射线自由电子激光装置-全金属角阀的合同公告,2025-07-02 16:55:16,中国科学院沈阳科学仪器股份有限公司,郭东民(男),021-20302794,660000.00
关于福彩销售场所形象升级改造项目专项审计服务的框架协议合同公告,2025-07-02 16:54:04,上海为众永光会计师事务所（普通合伙）,涂武根(男),021-64729999,92000.00
关于打印/复印纸的框架协议合同公告,2025-07-02 16:47:03,上海苒盛实业有限公司,杭捷(女),13585749548,10483.20
陈行公路机房网安总队配套网络设施子系统建设项目-硬件产品的合同公告,2025-07-02 16:43:58,南京烽火星空通信发展有限公司,李华蓉(女),021-22024741,2552000.00
关于会计审计的框架协议合同公告,2025-07-02 16:39:16,上海久信会计师事务所有限公司,王艳(女),021-23111545,327800.00
关于其他印刷服务的框架协议合同公告,2025-07-02 16:33:52,上海华教印务有限公司,夏洁成(男),18918889620,8540.00
关于打印/复印纸的框架协议合同公告,2025-07-02 16:32:51,史泰博（上海）有限公司,张潮涌(男),18918882968,4796.20
关于物业管理服务的框架协议合同公告,2025-07-02 16:32:50,上海东方大学城物业管理有限公司,张华(女),021-61655060,599999.00
关于打印/复印纸的框架协议合同公告,2025-07-02 16:32:12,史泰博（上海）有限公司,张潮涌(男),18918882968,200.00
关于会计审计的框架协议合同公告,2025-07-02 16:31:49,上海公信会计师事务所有限公司,陈热豪(男),18016091753,4000.00
关于会计审计的框架协议合同公告,2025-07-02 16:30:55,上海公信会计师事务所有限公司,陈热豪(男),18016091753,4000.00
关于其他印刷服务的框架协议合同公告,2025-07-02 16:30:26,上海华教印务有限公司,夏洁成(男),18918889620,14175.00
关于台式整机的框架协议合同公告,2025-07-02 16:29:02,上海慧康信息技术有限公司,邵海鸣(男),021-37433945,5950.00
上海立信会计金融学院中文纸质图书采购项目（2025年度）的合同公告,2025-07-02 16:16:48,湖北三新文化传媒有限公司,宋相濡(男),18021098590,550000.00
关于资产评估服务的框架协议合同公告,2025-07-02 16:13:34,上海集联资产评估有限公司,修雪嵩(男),021-22121507,4000.00
