,href,title,time,联系人,预算金额
0,https://cg.sz-water.com.cn:443/hfcggg/64264.jhtml,2025年集团新员工入职培训 《远航者号》沉浸式剧本课程服务采购项目采购公告,2025/6/20 16:06,陈工,6.10万
1,https://cg.sz-water.com.cn:443/hfcggg/64075.jhtml,深汕水务公司人力资源专项培训服务采购项目采购公告,2025/6/18 19:06,邱惠嘉,22.00万
2,https://cg.sz-water.com.cn:443/hfcggg/63927.jhtml,深圳环水集团2025年新员工入职素质拓展培训服务项目采购公告,2025/6/17 9:06,支老师,6.00万
3,https://cg.sz-water.com.cn:443/hfcggg/63894.jhtml,深水培训中心2025年《职业优势测评和未来规划》和《高效沟通与职场礼仪》课程采购采购公告,2025/6/16 16:06,陈工,6.60万
4,https://cg.sz-water.com.cn:443/hfcggg/63020.jhtml,2025年水管家服务规范及技能培训采购公告,2025/5/30 16:05,陈琳佳,3.78万
5,https://cg.sz-water.com.cn:443/hfcggg/60227.jhtml,深水培训中心微信公众号2025年度运营推广服务项目采购公告,2025/4/16 15:04,陈雨青,295000
6,https://cg.sz-water.com.cn:443/hfcggg/58467.jhtml,公司年度安全系列培训项目采购公告,2025/3/21 17:03,冯工,200000
7,https://cg.sz-water.com.cn:443/hfcggg/57742.jhtml,集团2025年度纪检监察干部培训服务采购项目采购公告,2025/3/11 15:03,肖小姐,190000
8,https://cg.sz-water.com.cn:443/hfcggg/57379.jhtml,能力提升培训项目采购公告,2025/3/5 15:03,吴倩欣,200000
9,https://cg.sz-water.com.cn:443/hfcggg/56678.jhtml,集团2025年基层党务工作者培训项目采购公告,2025/2/19 11:02,李老师,407000
10,https://cg.sz-water.com.cn:443/hfcggg/55233.jhtml,深水培训在线学习平台2025年度运营服务项目采购公告,2025/1/10 16:01,王凯,392400
11,https://cg.sz-water.com.cn:443/hfcggg/51940.jhtml,池州排水、水环境公司红色教育基地拓展培训服务项目采购公告,2024/12/9 10:12,谷春苗,75000
12,https://cg.sz-water.com.cn:443/hfcggg/49939.jhtml,2025年度深水培训在线学习平台公有云及安全服务采购项目采购公告,2024/11/22 16:11,严女士,481700
13,https://cg.sz-water.com.cn:443/hfcggg/49142.jhtml,集团2024年度控股、参股企业党建培训服务采购项目采购公告,2024/11/16 10:11,栾畅,84900
14,https://cg.sz-water.com.cn:443/hfcggg/49112.jhtml,池州市供水有限公司中高层管理人员拓展培训服务项目采购采购公告,2024/11/15 18:11,疏秀,50000
15,https://cg.sz-water.com.cn:443/hfcggg/48163.jhtml,南澳培训中心红线范围外资产评估机构采购项目采购公告,2024/11/6 18:11,黄先生,57000
16,https://cg.sz-water.com.cn:443/hfcggg/48053.jhtml,深圳水务集团2024年人力资源管理专项培训采购项目采购公告,2024/11/5 15:11,尹磊,200000
17,https://cg.sz-water.com.cn:443/hfcggg/47767.jhtml,南澳培训中心部分地上附着物测绘采购项目采购公告,2024/11/3 14:11,黄先生,82798
18,https://cg.sz-water.com.cn:443/hfcggg/46801.jhtml,水务物业公司中层管理人员管理技能提升培训服务采购公告,2024/10/21 18:10,曾工,31300
19,https://cg.sz-water.com.cn:443/hfcggg/45880.jhtml,入党积极分子培训班课程服务项目采购公告,2024/10/11 9:10,李连桥,54500
20,https://cg.sz-water.com.cn:443/hfcggg/45944.jhtml,深水云脑成果转化系列培训服务采购公告,2024/10/11 16:10,肖工,75000
21,https://cg.sz-water.com.cn:443/hfcggg/43721.jhtml,龙岗集团2024年三级机构管理人员通用能力培训采购公告,2024/9/9 16:09,张工,50000
22,https://cg.sz-water.com.cn:443/hfcggg/43482.jhtml,总裁办公室关于南澳培训中心资产评估机构公开询价采购项目(二次采购),2024/9/5 18:09,黄先生,53000
23,https://cg.sz-water.com.cn:443/hfcggg/42802.jhtml,2024年客服系统管理人员及业务骨干服务意识及情绪管理培训采购公告,2024/8/28 11:08,陈琳佳,34200
24,https://cg.sz-water.com.cn:443/hfcggg/42834.jhtml,总裁办公室关于南澳培训中心资产评估机构公开询价采购项目采购公告,2024/8/28 16:08,黄先生,53000
25,https://cg.sz-water.com.cn:443/hfcggg/42409.jhtml,2024年度财务专项培训课程采购采购公告,2024/8/22 18:08,刘炳均,40000
26,https://cg.sz-water.com.cn:443/hfcggg/40546.jhtml,龙岗水务集团2024年新员工通用能力培训采购公告,2024/7/29 15:07,张工,50000
27,https://cg.sz-water.com.cn:443/hfcggg/40051.jhtml,2024年度管理能力提升系列培训服务采购项目采购公告,2024/7/23 9:07,李洁怡,49000
28,https://cg.sz-water.com.cn:443/hfcggg/39639.jhtml,财务管理中心2024年度财务培训课程采购项目采购公告,2024/7/17 11:07,徐子悠,80500
29,https://cg.sz-water.com.cn:443/hfcggg/39120.jhtml,安全能力提升系列培训采购公告,2024/7/8 18:07,冯天资,300000
30,https://cg.sz-water.com.cn:443/hfcggg/38771.jhtml,生产系统设备维修技术培训服务项目采购公告,2024/7/3 12:07,白秀虾,88000
31,https://cg.sz-water.com.cn:443/hfcggg/38289.jhtml,2024年集团新入职员工培训项目纪录片拍摄制作服务采购公告,2024/6/26 11:06,陈雨青,90000
32,https://cg.sz-water.com.cn:443/hfcggg/38312.jhtml,2024年集团新员工入职素质拓展培训服务项目采购公告,2024/6/26 16:06,陈雨青,65000
33,https://cg.sz-water.com.cn:443/hfcggg/38181.jhtml,深水培训中心2024-2025年度员工培训餐饮服务项目采购公告,2024/6/24 20:06,支钜弘,150000
