项目URL,项目名称,采购人信息,项目金额
https://www.szggzy.com/jygg/details.html?contentId=19839059,2025年深圳市中小学图书管理员培训项目的采购公告,名称：深圳市教育信息技术中心地址：深圳市罗湖区清水河街道泥岗西路,1077000000
https://www.szggzy.com/jygg/details.html?contentId=19838408,深圳市公安局深汕特别合作区分局无人机操控员培训采购项目的采购公告,名称：深圳市公安局深汕特别合作区分局地址：深圳市深汕特别合作区赤石镇圆墩村,470000.00
https://www.szggzy.com/jygg/details.html?contentId=19838245,深圳市职业技能培训指导中心高训大厦物业管理项目（A）招标公告,名称：深圳市职业技能培训指导中心地址：广东省深圳市福田区福强路,3400000.00
https://www.szggzy.com/jygg/details.html?contentId=19836133,安全生产培训服务的采购公告,名称：广东省深圳监狱地址：深圳市坪山区金田路,196000.00
https://www.szggzy.com/jygg/details.html?contentId=19835996,2025年对口帮扶怀集县、陆丰市教育培训项目采购公告,名称：广东省深圳监狱地址：深圳市坪山区金田路,700000.00
https://www.szggzy.com/jygg/details.html?contentId=19836041,罗湖区2025年新教师岗前封闭式培训服务采购公告,名称：广东省深圳监狱地址：深圳市坪山区金田路,232619.00
https://www.szggzy.com/jygg/details.html?contentId=19835776,深圳证券交易所创业企业培训中心“2025-2027年培训中心视频录制集中采购（CGXZ-2024-058）”的采购公告,名称：广东省深圳监狱地址：深圳市坪山区金田路,1
https://www.szggzy.com/jygg/details.html?contentId=19835541,2025年少先队干部培训的采购公告,名称：广东省深圳监狱地址：深圳市坪山区金田路,3
https://www.szggzy.com/jygg/details.html?contentId=19835040,龙岗区2025年公益性职业技能培训（II组）服务采购（A）招标公告,名称：深圳市龙岗区人力资源服务中心地址：深圳市龙岗区龙城街道清林路,400000.00
https://www.szggzy.com/jygg/details.html?contentId=19835001,龙岗区2025年公益性职业技能培训（I组）服务采购（D）招标公告,名称：深圳市龙岗区人力资源服务中心地址：深圳市龙岗区龙城街道清林路,500000.00
https://www.szggzy.com/jygg/details.html?contentId=19834992,龙岗区2025年公益性职业技能培训（II组）服务采购（B）招标公告,名称：深圳市龙岗区人力资源服务中心地址：深圳市龙岗区龙城街道清林路,500000.00
https://www.szggzy.com/jygg/details.html?contentId=19834987,龙岗区2025年公益性职业技能培训（II组）服务采购（C）招标公告,名称：深圳市龙岗区人力资源服务中心地址：深圳市龙岗区龙城街道清林路,500000.00
https://www.szggzy.com/jygg/details.html?contentId=19835025,龙岗区2025年公益性职业技能培训（II组）服务采购（D）招标公告,名称：深圳市龙岗区人力资源服务中心地址：深圳市龙岗区龙城街道清林路,500000.00
https://www.szggzy.com/jygg/details.html?contentId=19835051,龙岗区2025年公益性职业技能培训（I组）服务采购（B）招标公告,名称：深圳市龙岗区人力资源服务中心地址：深圳市龙岗区龙城街道清林路,500000.00
https://www.szggzy.com/jygg/details.html?contentId=19835013,龙岗区2025年公益性职业技能培训（I组）服务采购（A）招标公告,名称：深圳市龙岗区人力资源服务中心地址：深圳市龙岗区龙城街道清林路,400000.00
https://www.szggzy.com/jygg/details.html?contentId=19832999,龙华区2025年驻深部队官兵无人机驾驶员培训项目的采购公告,名称：深圳市龙岗区人力资源服务中心地址：深圳市龙岗区龙城街道清林路,55000000
